[General]
Name|Patrick
119.1|Porra, eu odeio o sentido que isso faz. Tudo bem, bem, a garota no ponto de ônibus disse que isso daria certo, e você também confirma isso. Lá vou eu, mano, hora de lubrificar a palma da mão da Rachael.
120|Rachael, se você tivesse me dito desde o começo que só queria um pouco de ação suja, poderíamos ter economizado um tempão! Eu vou de lenhador no Beaver com prazer, droga... lá vamos nós!
121|Ei, eu não julgo ninguém, mesmo que seja ruim. Mas, sabe, aquele velho não disse nada sobre ser gentil com as pessoas. Não é suborno se não houver dinheiro envolvido, certo?
121.1|Ei, eu não julgo ninguém, mesmo que seja ruim. Mas, sabe, aquela garota no ponto de ônibus não disse nada sobre conquistar as pessoas com gentileza. Não é suborno se não houver dinheiro envolvido, certo?
122|Então é assim que subornamos. Não com dinheiro, mas fazendo desta a melhor noite da sua vida. Posso ver pela cara da Rachael que ela não está se divertindo. Então, vamos resolver isso. E depois de cuidarmos de todas as necessidades da festa dela e ela estar no paraíso das festas, revelamos que foi seu bom amigo Patrick quem fez tudo acontecer.
122.1|É assim que a subornamos. Não com dinheiro, mas dando a melhor festa da vida dela. Ela não parece miserável, mas que tipo de bar é esse? Se for um bar, é um bom relacionamento com uma vista panorâmica das dezenas de guinchos. Rachael merece mais! Depois de realmente nos certificarmos de que ela está no paraíso das festas, revelamos que foi seu bom amigo Patrick quem fez tudo acontecer.
123|Seu de tão pouca fé, mano! Claro que vai dar certo. Ela não terá escolha a não ser chamar os cachorros depois disso. Ela vai amar Patrick, e o lugar também! Mas ela ainda não me ama de volta. Na verdade, eu não consigo nem chegar perto dela sem que ela vire as costas e saia correndo. 
124|Mas ela não tem problema com você! É por isso que você vai ser meu brahper na pista. Descubra o que pode tornar a noite da Rachael ainda melhor e depois me diga para que eu possa fazer o que der e vier, como uma espécie de gênio incrível no nado peito. E pelas suas ações, acredite em mim quando digo que você será generosamente recompensado. Parece bom?
125|Claro que sim! Estarei lá fora tentando interpretar o papel de um convidado incrível para a festa. Não será um disfarce difícil para mim, heh. Venha me encontrar quando você se recuperar.
126|Oh, ei!... latindo? Então, é uma mudança de estilo que nossa consulta exige, Rachael. Eu sabia que meu talento para prevalecer apareceria. Entrei nessa mesma música com um MP3 player, então load... loadest? Oh, merda, vou trabalhar na minha narrativa mais tarde. Mano, quando entrei hoje à noite... Eu estava armado de melodias, nunca ouvi falar dos maiores músicos do mundo, não faça nada consigo mesmo.
127|É isso aí, heh, eu, uh, perdi completamente o controle em algum lugar por aqui. É uma situação ruim porque eu posso estar decepcionando alguns dos meus talentos, usuários e dispositivos. Vamos descobrir onde está o ASAB, o mais rápido possível, Brahssible.
128|Ahaaaa, você encontrou? E está enrolado na aranha? É isso que eu ganho com meus pertences e correndo atrás do álcool toda vez que invado uma festa. Dê um jeito de conseguir. Você é um mano esperto, eu acredito em você.
129|Ahaaaa, você encontrou? E estava enrolado na aranha? É isso que eu ganho com meus pertences e correndo atrás do álcool toda vez que invado uma festa.
130|Se você tem as músicas novas, por que não as toca? Vamos lá, mano! Preciso de você no jogo aqui. Eu diria que foi para o computador da Madison, mas acho que ela não transmite as músicas dela. Veja se consegue outro jeito de nos fazer arrasar!
131|Oooh, uauuuu... bem feito! Então, mais um para o Patrick. Mais um ou dois atos heroicos levarão esse lado para o próximo nível, e a Rachael, junto com todas as outras mulheres que me acham uma merda, vão gostar de mim de novo! Vamos continuar andando!
132|Mano, eu te contratei, lembra? Como mano freelancer da Donghauser Industries, você está com o trabalho em dia agora, não eu. Vá lá e descubra o que precisamos fazer a seguir!
133|Porque eu não podia simplesmente chamar de "postyourtittypicshere.com!" Eu só queria um site que passasse despercebido pelos Unitaristas. Então, fiz isso com um site de segurança comunitária. Mas, de repente, as pessoas estavam OBSERVANDO seus vizinhos e postando fotos deles se trocando e defecando! Admito que eu estava errado.
134|Ah, a Donghauser Industries realmente decolou depois do Neighborhood Watch. Eu queria investir em outras empresas, e foi nessa época que o streaming de música estava bombando. Então, encontrei uns tones que estavam criando um site de música para artistas novos e talentosos, e comprei a porra deles!
135|É construído como um tijolo, mano, e com um propósito desses. Tem talento de verdade aqui. Com o tanto que eu tô curtindo, quem sabe o que eu tenho, vai transbordar ou transbordar. Também não posso deixar isso acontecer com as mãos que programam a indústria musical. Eles roubariam essas músicas direto de baixo dessas estrelas em ascensão. Então é tudo off-line e super resistente. Sem Wi-Fi, sem BluePoop, com classificação IP69 e um buraco para cabo. Hehehe, "Eu mijo... no buraco para cabo."
136|Mano, o que é essa cápsula misteriosa? Eu posso... Estou recebendo um toque de MIX DA MORTE? Santa mãe do Mano, você trouxe o mix da morte para essa mana? E eu dou para mim? Oooohh ho hooo...
137|Você é o melhor mano que um mano poderia pedir! Vou levar isso. Tenho que tomar cuidado com a mistura da morte...
138|É isso aí, mano. Agora, se me dá licença, essa mistura da morte e eu temos que explorar um pouco. Vou te mostrar a yaarda: brilhando, brilhando, hooott tuuubbb... o que foi da última vez que você se escondeu perto de uma árvore e espiou? Eu consigo abrir minha calça, acariciá-la...
139|O quê?! Essa é uma informação que eu posso usar. Sabe, ano passado eu abri uma empresa que faz suco para vape com extrato de flor encontrado SOMENTE em Brah-Brah, Nova Guiné. Fazendo o melhor sabor, as nuvens são tão espessas que eu posso sugar do ar e dar uma segunda tragada, mano!
139.1|O quê?! Essa é uma informação que eu posso usar. Sabe, ano passado eu abri uma empresa que faz suco para vape com extrato de flor encontrado SOMENTE em Brah-Brah, Nova Guiné. Eles fazem o vapor mais gostoso, nuvens tão densas que eu consigo sugá-las do ar e dar uma segunda tragada, mano!
140|Porra... sabe, eu também não criei, mas aí te dei um prêmio que dizia "Melhor Ambiente... Melhor Envirocyberon?" Droga, eu não consigo pronunciar essa palavra muito bem! Me ajuda aqui, mano, e rápido! Tem que ter alguma coisa aqui que está mexendo com meu... uh... memocabulário.
141|Só me lembro que tinha o formato de flechas girando em um triângulo, todas tentando entrar na minha bunda. Espera... isso foi um prêmio pela noite que eu tive em Bangkok? Droga... sem mais perguntas, vamos, vamos, vamos!
142|Eu me lembro muito bem, então você pode ser o primeiro a experimentar o novo juice de vapor, e assim que eu chegar, todos os pequenos Brah-Brah New Goonies. Resumindo a história, eles me deram um prêmio e tiraram fotos. Você acha que foi porque eu fiz aqueles anéis de bunda incríveis? Espera, não responda isso... precisamos focar nesse prêmio, agora mesmo!
143|Não, não, não, mano, não. Escuta, eu não gosto que as pessoas saibam em quais outras empresas eu trabalho. Quando as pessoas descobrirem o seu valor, vão sair do chão procurando por todo o suco de vape doce da casa. Faça sua própria pesquisa, mas não conte a ninguém sobre isso. Aliás, quanto antes, melhor... caso a gente seja pego.
144|Vou te fazer melhor, mano. Conheça o Golden Mist. É um cigarro eletrônico top de linha, então trate-o com respeito. Dê uma tragada sempre que quiser ver o gosto do vape premiado. E, uh, tente descobrir qual prêmio eu ganhei. Falo com você em breve, mano.
144.1|Vou te fazer melhor, mano. Conheça a Golden Mist. Ela é top de linha, então trate-a com respeito e ela te respeitará de volta. Afinal, o juice da mano é orgânico, sem aditivos, sem produtos químicos e não vicia! É como ambrahsia pura, sério! Dê uma tragada sempre que quiser ver o gosto do vape premiado. E, uh, tente descobrir qual foi o prêmio que ganhei. Falo com você em breve, mano. 
145|"...comprometemos uma parte significativa do nosso lucro líquido com a melhoria da infraestrutura da comunidade e dos serviços essenciais. Além disso, várias áreas de terra que já foram usadas para exploração madeireira ou escoamento de águas residuais por outras empresas foram reaproveitadas para irrigação, terras agrícolas sustentáveis e, em alguns casos, reservas naturais promissoras que protegerão espécies ameaçadas de extinção nos anos anteriores. Os lugares que investem em nós...
146|Coisa bem doce, né? Eu chamo esse sabor de... Padre Y 'Chido." Ou era "Chido Y' Padre"? Funciona de qualquer jeito, porque você parece radical enquanto fuma, e o médico disse que eu tenho uma doença radical por causa disso. Radiação ou radical, não me lembro. QUEIMANDO 'CÉLULAS CEREBRAIS DE BEBÊ!'
147|Sério? Quer dizer que eu salvei os pequenos Brah Brahs? Isso é demais, cara! Só mostra o poder do vape. Você contou essa novidade para a Rachael?
147.1 | Oooh, sim, os pequenos Brah Brahs da Brah Brah Nova Guiné! É claro que sim, minha empresa de vape se saiu muito bem com a ajuda e tudo mais, então eu tive que retribuir. Você contou isso para a Rachael?
148|Droga! Estou me esforçando demais para conquistar a Rachael e salvar a Vigilância do Bairro, mas sinto que estou chegando lá AGORA MESMO. Não é sua culpa, você tem se esforçado, mas estou me perguntando se vale a pena.
148.1|Verdade, acho que estou tão acostumado com as coisas acontecendo do meu jeito que encarar coisas como exercícios extenuantes, lidar com paraísos fiscais offshore ou lembrar o que um paraíso fiscal realmente é me desanima.
149|Tudo bem, obrigado, mas isso é puro material para "Patrick é um bom irmão". Quer dizer, estou na capa de uma revista que é só sobre pessoas inteligentes fazendo coisas boas. Vai mostrar para ela!
150|Chegamos até aqui, irmão, você acha mesmo?
151|Merda, cara, se você diz... Bem, você foi um bom funcionário enquanto durou o nosso acordo com o irmão. Agora eu te liberto da sua servidão.
152|Como assim? Tipo, como se minha empresa de contabilidade, TaxFrat, desse planejamento financeiro gratuito para prostitutas sem espinhas?
153|Mas isso foi só para colocar as mãos em músicas doces e um delicioso suco de vape. Será que eu tenho ajudado as pessoas esse tempo todo, mesmo enquanto alimentava meu próprio estilo de vida selvagem? Eu sou... uma boa pessoa? Não acredito que quase deixei passar tudo isso...
154|Isso é... isso é muita coisa. É triste... nossa. Estou sentindo todos os tipos de emoções agora. Me sinto como um... filme de Natal, só que estou aqui o ano todo E tenho um pau grande. Mas... quanto mais eu poderia ter conquistado sem álcool? Ou... sem um pouco de álcool. Eu sei o que preciso fazer.
155|Para começar... Acho que vou facilitar para mim com almoços líquidos. E jantares líquidos. Talvez parar de fumar de vez. Uh, quanto a esta noite, veja bem, meu anjo da guarda. Siga-me até o mirante, ou junte-se a mim quando tiver a chance. Esta é a prioridade máxima, estamos na reta final, mano.
156|Imagine só, nós dois pelados, caindo no chão do banheiro... Ei, estamos no chão do banheiro. Então FUI EU! Hahaha.
156.1|Ela é uma garota rica, mas ficou muito mano, tipo, você nunca conheceu nenhum mano. Mano rico, ela é uma mano rica. Pode confiar no dinheiro do mano velho, pode confiar no dinheiro do mano velho! Eu sou rico, Rachael. Era para ser segredo, mas eu sou um mano muito rico.
156.2|Ohh ho ho Rachael! Hakuna brahtata! Significa sem calcinha, pelo resto dos seus dias! É a minha filosofia de... sem roupa! Hakuna brahtata!
157|Chave do império, querida, nunca saia de casa sem ela, uhuuu!
158|Tá tentando pegar a minha chave, mano? Heh, tomei Viabrah o suficiente que tô tipo Fort Knox lá embaixo. A chave não tá deslizando, de jeito nenhum! Uhuuuu! Mano!
159|Não acredito que isso está acontecendo!
160|Está acontecendo, está acontecendo! Bem-vindos ao mundo, meus maninhos!!!!!
161|Mm-mmm-mmm façam agora, você e eu, Rachael, não passa de mamíferos, então vamos fazer, meu Deus, hambúrgueres. Acho que nós dois vamos engolir hoje à noite... nah nah, descobri uma flanela...
162|Aí está meu mano! Obrigada por vir. Como vocês sabem, costumo deixar meus sentimentos de lado quando entro em qualquer festa. Para me salvar de qualquer erro de bêbado, joguei minha maleta em cima deste mirante. Provavelmente é a coisa mais valiosa desta festa.
163|Heh, não me falhou até agora. Você encontrou meu MP3 player, me ajudou com a Rachael, e sabendo agora que eu posso ser tipo... um verdadeiro brahlanthropist... Estou tipo, abalado, mano. Tipo duas grandes, grandes dúvidas, deixa pra lá. Eu sei exatamente onde encontrar minha maleta. Está lá em cima... ei... Para onde ela foi?!
163.1|Ahh... te peguei! Ufa. Heh, não me falhou até agora. Você encontrou meu MP3 player, me ajudou com a Rachael, e sabendo agora que eu posso ser tipo... um verdadeiro brahlanthropist... Estou tipo, abalado, mano. Tipo duas grandes, grandes dúvidas, deixa pra lá. Como você pode ver, eu sabia exatamente onde encontrar minha maleta.
164|Aqui vamos nós. Meu irmão principal, neste caso, é minha maior invenção até hoje. O que está dentro mudará o futuro desta noite e possivelmente o destino da raça humana. Só temos que, heh, abri-lo.
164.1|Uau, esse é o espírito empreendedor! O que você tem é minha maior invenção até hoje. Ela mudará o futuro desta noite e possivelmente o destino da raça humana. Só temos que... lidar com mais uma questão de segurança.
164.2|Nada de errado com uma mão amiga, eu digo. Ou duas, se você for tão talentoso. Mas certifique-se de pegá-la, porque o que é neste caso é minha maior invenção até hoje. Ela mudará o futuro desta noite e possivelmente o destino da raça humana. Só temos que... lidar com mais uma questão de segurança.
165|Bem, eu... por favor, não surte, mas achei melhor te mostrar.
166|Heh, eu agradeço o elogio, mano, mas meu pau de pancada é a única coisa que está no nosso caminho. Literalmente, ele está firme demais!
167|Mano, você tem que ficar comigo. Acredite ou não, tudo depende da minha carne. Só me ouça.
168|Se olhar de perto, verá um anel de ouro firmemente colocado ao redor do eixo da minha imponente montanha. Este anel de ouro mantém todos os tesouros da montanha seguros, para que nenhuma moeda escape do dragão.
169|Qual o sentido de tentar transformar isso em uma história épica? Meu anel peniano também é meu chaveiro. A chave da minha maleta está tão perto que consigo senti-la contra a minha bolsa, mas não consigo alcançá-la até nos livrarmos do meu pau duro. Está muito apertado! Que saco!
170|Você acha que eu não tentei, mano? Tomei um monte daqueles comprimidos que vendem em banheiros de postos de gasolina e achei que não iam funcionar até a Rachael me dar um tapa. Aí foi tipo, UAU. Eu nem sabia que gostava disso!
171|Só... me ajude a "me livrar" da minha ereção. Pode haver maneiras mais criativas de fazer isso, mas, quer dizer, eu só conheço uma maneira garantida de mandar meu soldado de volta para a cadeia.
172|Eu poderia, mas desde que a Rachael liberou algo no meu cérebro, estou descobrindo um fetiche totalmente novo que eu nem sabia que gostava! Não sou material para palmadas com essa coisa de masoquismo. Se eu quiser me aliviar, preciso de ajuda. Ajuda verbal. De você.
173|Eu... eu não sei o que estou dizendo. Mas se você topa, quer dizer, boca é boca. É o que sempre dizem nos glory holes que eu vou... Eu costumava ir
174|Veja o que você consegue fazer, só não pense que alguém vai vir me dar uma surra, mano. Foi bem bizarro como fiquei quando a Rachael me deu um tapa. Só Deus sabe como eu me sentiria se o Frank colocasse as mãos fortes dele em mim... só veja o que você consegue encontrar. Depressa.
174.1|Achei que você já estava procurando aqui, mano? Vamos... vai, vai, vai!
175|Nah-na-na-na-na-na-nah, Nah-na-na-na-na-na-nah... PATMAN!
176|Tá, mano, quando eu começar a ir para a cidade sozinho, preciso que você comece a falar comigo como se eu fosse um cocô gigante. Isso me faz sentir um lixo, tá? É, é, talvez funcione. Tá pronto?
177|Tá, mano, eu realmente não acho que você tem o que é preciso. Temos que encontrar um jeito diferente.
177.1|Droga, de novo? Isso não vai funcionar, mano. Fuuuuuuu, meu pobre travesso manoaaahhlls! Boa tentativa, mas eu pensei que você me conhecesse, mano, e tipo, eu tinha ouvidos muito bons para ouvir. Bem, acho que mais tarde posso encontrar alguém online que venha à minha casa, me dê um tapa e me dê um sermão sobre meus fracassos como homem. Isso provavelmente vai me tirar dali... e a chave também. Se eu precisar, posso ligar para a tia Cece? Ela me chamou de garoto-propaganda de...
178|Buraco de merda imundo, tá, mano, eu gosto disso... Eu sou um filho da puta imundo, não sou?
179|Não, mano, essa foi fraca! Vamos lá, não facilite as coisas para mim nem fique passivo-agressivo, esfregue na minha cara! Estou perdendo o ritmo, rápido!
180|É, é isso mesmo, atacando mesmo a minha masculinidade. O que mais é ruim em mim?
181|Ah sim, mano, eu sou um estorvo TOTAL para quem eu amo, isso é tão excitante. Continua.
182|Puta merda, você tem razão! Eu nunca vou sentir o abraço caloroso de um parceiro para a vida, vou continuar... Estou quase fazendo um brahgasm!
182.1|Goza mano, acaba comigo! BRAHTALITY!
183|OH Fuuuu... comprometer a visibilidade da plataforma de streaming... isso me atinge! Está acontecendo, surfa na onda, bbb-BRAH, estou gozando! Santa mãe de Brahbo San Lucas. Essa foi uma sessão idiota, bem ali.
183.1|OH Fuuuu... você consegue sentir essas ondas de cobrahperation? Está acontecendo, surfe na onda, bbb-BRAH, estou gozando! Santa mãe de Brahbo San Lucas. Essa foi uma sessão boba, bem ali.
184|Amém! Brah, aqui está o chaveiro. Conseguimos. Vá em frente e abra a maleta. Conheça meu homem principal, Compucompa, enquanto eu... eu realmente preciso de um segundo.
184.1|Amém! Brah, aqui está o chaveiro. Conseguimos. Vá em frente e desative o resto da segurança da maleta. Conheça meu homem principal, Compucompa, enquanto eu... eu realmente preciso de um segundo.
185|Você é um brah entre brahs... vamos nessa.
186|Ah, qual é, você tem que fazer melhor que isso! "M", "E", "S", "S", "O", "J", "I", "S", "M"! É como bukakke, mas menos organizado. Tô na internet, lembra, mano?
187|Mano, isso parece muito perigoso... Vamos nessa! Vai ser como quando eu enfiei um taser na língua. Mas com o meu pau. Qual é o plano?
188|Você é tipo um clube de striptease só de topless, mano: só metade do que eu paguei. Me arruma alguma coisa pra colocar essa rola de volta no lugar dela... dentro de mim.
189|Espera aí, você quer que eu toque nessa coisa no meu pau? Heh, tudo bem. Vamos lá. Me siga.
190|Ok, isso é para mulheres de todo lugar... para provar que não sou babaca. Hum, está tudo certo... ou algo assim. Eh, foda-se, eu só... uhh heh, uma parte de mim não quer. Você pode... segurar minha mão, mano? Acho que essa é uma jornada que é melhor fazermos juntos.
190.1|Porra, gente por aí?! Uhh... Momento de relações públicas, mano! Acho que é uma ótima ideia, cara! Eu já demonstrei uma propensão à devassidão, irresponsabilidade e desrespeito pelas mulheres. Depois que você, uh, tirou minhas calças para me mostrar... hum, clareza, também percebi que é preciso uma lição mais dura para mudar meus hábitos! Por favor, você pode me ajudar a me firmar segurando minha mão?
191|Certo, aqui vamos nós, mano! Pronto?
191.1|Obrigado, você está pronto? Aqui vamos nós, mano, que momento!
192|Rachael, venha cá, não tenho muito tempo. Pegue esta chave... ela veio do meu pau. Use-a para destruir o mal que eu criei. Ela me lembra... e meu pênis.
193|Nossa, Rachael! Me deixe todo animado de novo. Quer sair um dia desses? Por que você está triste, mano?
194|Você me empurrou pra valer, me empurrou pra ser um mano melhor. Aqui, use essa chave nessa. Lá dentro você pode fechar todo o meu império. Não apenas Observertown, mas tudo o que eu construí.
195|Rachael! Adorei! Combinado; bem-vindo às Indústrias Donghauser, mano!
196|Mano, muito obrigado por tudo. Tenho algo para você. Os idiotas do QG estão se aventurando no mundo da realidade virtual. Este é o nosso brotótipo, e é só para você. Você merece.
197|Sem problemas, só, uh, não se empolgue. Ei, que noite... Como será que você vai se virar sem um barato? Enfim, paz, mano!
198|É bem legal, né? O pequeno mano digital costumava ser só um brilho nos meus olhos até eu mandar uns idiotas da minha empresa construí-lo. Enfim, hora de falar com a Rachael. Eu sei o que fazer.
199|Rachael, mano, tenho uma coisa para você. Olhe para a sua recompensa e comemore!
200|Todas as grandes ideias que eu provavelmente vou roubar, mas não, sério. Este é o CompuCompa. Ele está no comando de tudo no meu império. E eu estou te dando.
201|Porque eu quero que você trabalhe para mim, garota! Chefe do departamento "Não Faça Merda", ou algo assim. Me ajude a dar a volta por cima no meu império. E talvez ela me dê um tapa se eu fizer alguma merda... É, me dê mais tapas.
202|Faça o oposto do que todas as garotas da minha vida já me disseram e DIGA SIM.
203|Não precisa me dizer, diga para a Compucompa, mano!
204|Ah, sim, eu entendo. Bem, até nos encontrarmos de novo... Srta., uh, Diretora Independente Forte da Gestão de Coisas de Merda. Uh... podemos trabalhar nisso. Mano, porra.
205|Mano, cai fora... AH MERDA-
206|... da da da gozada!
207|Ah, saudações. Portanto, você escolheu meu avatar para participar, sexualmente. Que assim seja. Não permito que nossas equipes técnicas realizem análises comportamentais ou qualquer tipo de heurística desde... hmm... provavelmente foi depois do lançamento do Programa de Melhoria Contínua da Comunidade no Sudoeste do Pacífico. Não tenho certeza se essa experiência será do seu agrado, mas farei o meu melhor para fingir que estou conscientemente afogando o estresse da administração corporativa e viajando com contrabando ilícito... mano.
208|Então, que ato sexual você gostaria de simular?
208.1|Você vai se despir? Certo, se estiver nervoso ou inseguro sobre ir até o fim, deixe-me tentar isso: tire a roupa e se prepare para a relação sexual, depois comece a me foder como se fosse... hum, o Brahn Jeremy.
208.2|Você vai se despir? Certo, se estiver nervoso ou inseguro sobre ir até o fim, deixe-me tentar isso: tire a roupa e se prepare para a relação sexual, como se fosse o Brah-na Rhoades.
209|Muito bem. Magnífico. Seu pai ficaria orgulhoso. E outras garantias. Não se preocupe, melhoraremos o diálogo pós-coito antes do teste Beta público.
210|Ótimo. Fim da sessão.
211|A... hã? Eu quis dizer TODA A VERDADE sobre o meu site e como você pode se libertar... ah, cara, mano, não que mulheres sejam buracos. Quer dizer, elas têm buracos. Isso está ficando...
212|Se alguém sabe o quão difícil a autodisciplina pode ser, é mano. Quer dizer, eu. Argh. Só tenha paciência um momento, tá?
213|É, ninguém é realmente um estranho, se você pensar bem. Somos todos só peitos e paus bebendo e transando até o além brahsmático. Aliás, esse cara parecia uma versão mais sebosa do Regis Philbmin, e eu REALMENTE queria que as pessoas pensassem que ele era amigo do REG.
213.1|É, ninguém é realmente um estranho, se você pensar bem. Somos todos só peitos e paus bebendo e transando até o além brahsmático. Além disso, essa garota parecia uma versão mais safada da Donna Parton, e eu REALMENTE esperava que ela fizesse uma serenata para mim.
214|Mente como o Mestre Jedi Broda, pinto como o Caçador de Recompensas Broba, ah yeahhhh!
215|Por quê? Porque o que é melhor do que aparecer numa festa com uma celebridade? Eu tenho fama suficiente para as pessoas comprarem também. Elas com certeza me fariam conhecer celebridades.
216|Uau, você está sentindo isso? Eu... acho que a casa da Madison é mal-assombrada! Ela precisa lidar com isso. Ouvi dizer que fantasmas só ficam mais fortes quanto mais tempo são donos de uma casa, e esta já está nas mãos de Brahrnold Swolesnjaeger!
216.1|Ei, agora eu respeito a iniciativa, mas eu não pedi um suppbrahsitory. Quer dizer, a menos que seja o que as instruções digam. Eu escondi mamilos lá para esta noite...?
216.2|Ei, uma piadinha depois de uma grande vitória nunca fez mal a ninguém, eu acho. É, menos de cinco anos, mano!
216.3|Vamos lá, não se acovarde. Estou traçando o limite. Ou dois. Posso acabar com um círculo, ou dois... círculos e um retângulo saliente... o que quer que eu desenhe, significa "fique longe da minha bunda", ok? Respeite a saliência.
217|Sim, mas apenas parcialmente. Parece também que a telemetria e os conjuntos de dados atuais dela estão completamente desatualizados. Posso acompanhar sua solicitação com uma sessão parcialmente funcional com a Rachael. Aproveite e adeus.
217.1|Sim, mas apenas parcialmente. Parece também que a telemetria e os conjuntos de dados atuais dela estão completamente desatualizados. Além disso, o rastreamento por satélite também foi perdido. Encerrarei sua sessão e você poderá tentar participar novamente com um exercício de nível limitado com a Rachael mais tarde. Adeus.
217.2|Sim, é verdade. Além disso, parece que nossa telemetria e nossos conjuntos de dados para ela estão em perfeitas condições. Se é isso que você deseja, atenderei sua solicitação de uma sessão com a Rachael. Aproveite e adeus.
217.3|Sim, é verdade. Além disso, parece que nossa telemetria e nossos conjuntos de dados para ela estão em perfeitas condições. Infelizmente, os módulos de rastreamento por satélite e análise de back-end estão offline. Não podemos prosseguir sem uma análise de back-end. Encerrarei sua sessão e você pode tentar falar novamente com Rachael mais tarde. Adeus.
218|Bem, que tal você ir encontrar a maleta primeiro, Brah? Quem sabe o que está sendo feito... com ela... ou com ela? Precisamos de olhos no prêmio!
219|Obrigado, Brah!
220|Não sei se alguém te contou, mas Madison e eu somos primas. Ela é a bravata da irmã da minha mãe! Agora, é verdade, eu tenho um banjo dourado, e o Arkansas é lindo nesta época do ano, mas a vida não é só isso, Brah.
220.1|Uhh, eu já te disse que Mads e eu somos primas. É verdade, eu tenho um banjo banhado a ouro, e o Arkansas é lindo nessa época do ano, mas o que te fez pensar que eu estou nessa vida, mano?
221|Ei, quem é aquela garota com quem você estava conversando? E quando eu vou fazer meu show? Ela tem que me encontrar, né? Eu tô tranquilo!
221.1|Mano, olha você se mexendo! Primeiro você me ajuda a sair daquela enrascada com a Rachael e todas as outras mulheres do planeta, e agora você está bancando o meu parceiro sem eu nem pedir! É isso aí, mano! Então, o que você aprendeu sobre essa garota? O que eu preciso saber para fazer meu movimento?
222|Vou te mostrar, mano, eu sou um idiota pra caralho...
222.1|Claro, mano, a garota com quem você estava conversando. Aquela com o cabelo e os peitos. Eu gosto do jeito que ele se veste, ele parece um pouco com um herói. Imagino quanto eu pagaria para ele calçar umas luvas enormes de látex e me enforcar... Vamos lá, mano, você tem que me apresentar.
223|PARE COM ESSA MALDITA PROBLEMA!
224|O que eu posso dizer? Não me chamam de BrockBlock à toa, cara.
225|Ei, Lety. Já te vi por aqui hoje à noite, apertando mãos, fazendo amigos, beijando garotas... Mas não posso deixar de dizer que você ainda não fez nada, meu mano conhecido.
226|É, eu diria que é exatamente isso que eu sou. Meu nome é Patrick Donghauser. A Money Makers Monthly me chamou de "Perturbador de Sala de Reuniões e um Processo de Assédio Sexual Esperando para Acontecer". Sabe, eu ganho muito dinheiro e já deixei várias mulheres desconfortáveis.
227|Claro que sim, meu doce. É, comprei os manos espanhóis por acidente. Eu não conseguia ler uma palavra, mal consigo ler americano. Então... fui em frente e desenhei peitos em todos os personagens.
228|Vou fazer melhor, vamos nos livrar dessa terceira vela, e eu te levo na sua própria aventura de escolha do seu irmão. Algo me diz... Eu nem vou precisar desenhar peitos dessa vez.
229|Tá, tá, o que é isso que eu sinto perto do meu suporte para as costas? Ahh, está muito vermelho e molhado. Sou conhecida por guardar muita comida velha comigo para consumo posterior na trilha — só uma das minhas muitas tábuas de salvação. Não se incomode, vou me alimentar bem rápido com esse doce molhado.
229.1|Ok, ok, o que é essa coisa que sinto perto do meu suporte para as costas? Ahh, é muito afiada e cortante. Ah, sim, sou conhecido por manter vários animais estranhos comigo caso precise provar que me importo com o meio ambiente — só um dos meus muitos problemas.
230|Ah, sim, certo, este é o meu doce picante. Sim, este doce tem gosto de lava.
230.1|Ai, a ponta vermelha e pontuda desta aranha estranha e molhada me picou. Ah, estou tonto. Minha garganta está coçando como quando comi o algodão-doce rosa do teto... porra.
231|Desculpe, eu não falo brahili. Argh, estou até começando a sentir isso nas minhas... partes baixas.
231.1|Isso pode ser um efeito colateral das minhas pílulas para ereção, mas geralmente o inchaço ocorre em outro lugar. Será que o brahili também tem uma agulha para reduzir esse inchaço? Espero que seja menor que o outro.
232|Aquilo era uma pimenta? Parece que minha bunda é o SOL, Lety Brah! PRECISO DE AJUDA! PORRA MAMÃE CHUPACABRAHHHH!
232.1|A gente ainda devia tentar bater. Acho que essa língua gorda dá vontade de comer... nossa. Para onde foi minha visão? Ah, aí vem a dor. Tanta dor. NÃO CONSIGO VER NADA. TÁ ACONTECENDO! Parece que meus ossos estão queimando!
233|Tá, tá, tá, vamos entrar em uma briga de leme holandês? Aprendi sobre um movimento sexual no Brahbo San Lucas chamado Empilhadeira Franzida. Comece com... não, não sei se você está pronto para tudo isso.
234|Brahhhh, entendi, entendi. Essa é toda sua. Desejo-lhe sorte na sua exposição à cidade escondida de Pussypopolis. Eu lhe daria uma camisinha, mas sejamos realistas, eu não uso isso. Paz, mano!
235|I-uhh, oi, moças gentis. Não se incomodem comigo, eu só... Eu não sei por que estou aqui. Num minuto estou explorando todo o potencial da saia por baixo com todas essas brahdies por aí, no outro — uauuuu falando em brahdies, olha só a prateleira em —
236|Olha, eu não sou medrosa, mas só vou lutar se o Frank estiver sentado com a bundinha naquela cadeira. Por quê? Porque se ele estiver sentado quando eu começar a balançar, são pelo menos duas boas pancadas, eu vou sair antes que ele se levante e recue. O quê? Você viu como eu sou? Eu não ganho brigas justas, mano.
236.1|Olha, eu não costumo lutar muito. Não sei se o Frank está mesmo ocupado... ou só fingindo estar. Não confio na situação, sabe o que quero dizer? Falando brahticamente... talvez seja melhor você ver o que há de errado com ele primeiro. Quando chegar a hora, atacaremos!
237|Ah, vejo que você também é um homem culto.
237.1|Ah, vejo que você é uma mulher culta.
